id,basename,name,year,platform,genres,critic_score,user_score
91423,dark-souls-ii,Dark Souls II,2014,"PS3,PC,X360","Role-Playing",,
9435,the-legend-of-zelda-a-link-to-the-past,The Legend of Zelda: A Link to the Past,1992,"GBA,VC,SNES","Adventure",9.6,
510578,mortal-kombat-11,Mortal Kombat 11,2019,"XOne,PS4,PC,NS","Fighting",,
488615,street-fighter-v,Street Fighter V,2016,"PS4,PC","Fighting",,
65997,payday-2,PAYDAY 2,2013,"XOne,PS4,PS3,X360,PC,NS","Shooter",6.5,
496902,slay-the-spire,Slay the Spire,2019,"OSX,PC,NS,Linux","Strategy",,
29143,catherine,Catherine,2011,"PS3,X360","Puzzle",7.9,
459064,cuphead,Cuphead,2017,"PC,NS,XOne","Action,Platform",,
8645,resident-evil-2,Resident Evil 2,1998,"GC,XOne,N64,PC,PS4,DC,PSN,PS","Action,Action-Adventure",9.3,
19357,guild-wars-2,Guild Wars 2,2012,"PC","Role-Playing",,
31376,terraria,Terraria,2011,"X360,WiiU,PC,PS3,PSV,3DS,PS4,And,XOne","Action,Platform,Action-Adventure",8.8,
115977,the-witcher-3-wild-hunt,The Witcher 3: Wild Hunt,2015,"PC,PS4,XOne","Role-Playing",,
24799,yakuza-4,Yakuza 4,2011,"PS3,PS4","Adventure",7.7,
461067,tekken-7,Tekken 7,2015,"Arc,PS4,PC,XOne","Fighting",,
460316,brawlhalla,Brawlhalla,2018,"PC","Fighting",,
11282,final-fantasy-viii,Final Fantasy VIII,1999,"PC,PS,PSN","Role-Playing",9.4,
16676,team-fortress-2,Team Fortress 2,2007,"X360,PC,PS3","Shooter",9.2,
24193,left-4-dead-2,Left 4 Dead 2,2009,"X360,PC,OSX","Shooter,Misc",9,
506415,sekiro-shadows-die-twice,Sekiro: Shadows Die Twice,2019,"PS4,PC,XOne","Role-Playing",,
503446,star-wars-jedi-fallen-order,Star Wars Jedi: Fallen Order,,"PC,PS4,XOne","Misc",,
498638,anno-1800,Anno 1800,2019,"PC","Strategy",,
31339,project-zomboid,Project Zomboid,2020,"Linux,OSX,PC","Misc",,
66170,warframe,Warframe,,"NS,PC,PS4,XOne","Action,Misc",,
511396,tetris-99,TETRIS 99,2019,"NS","Puzzle",,
493217,gwent-the-witcher-card-game,Gwent: The Witcher Card Game,2018,"XOne,PS4,PC","Misc",,
34025,kenshi,Kenshi,1988,"PC","Role-Playing",,
29975,danganronpa-trigger-happy-havoc,Danganronpa: Trigger Happy Havoc,1970,"PSV,PC,PSP","Adventure",,
7193,microsoft-flight-simulator,Microsoft Flight Simulator,1996,"PC","Simulation",7,
499856,ghost-of-tsushima,Ghost of Tsushima,2019,"PS4","Action-Adventure",,
458443,alien-isolation,Alien: Isolation,2014,"PS3,PS4,PC,X360,XOne","Adventure",,
506246,fallout-76,Fallout 76,2018,"PS4,PC,XOne","Role-Playing",5.1,
73586,outlast,Outlast,2014,"PS4,PC","Misc",,
497480,detroit-become-human,Detroit: Become Human,,"PS4,PC","Adventure",8,
18889,final-fantasy-xiii,Final Fantasy XIII,2010,"X360,PC,PS3","Role-Playing",8.1,9.2
508289,wwe-2k19,WWE 2K19,2018,"PS4,PC,XOne","Fighting",,
494683,thehunter-call-of-the-wild,theHunter: Call of the Wild,2017,"PC,PS4,XOne","Shooter",,
369567,halo-5-guardians,Halo 5: Guardians,2015,"XOne","Shooter",8.6,
29107,tropico-4,Tropico 4,2011,"X360,PC","Strategy",7.9,
15229,ragnarok-online,Ragnarok Online,2002,"PC","Role-Playing",,
80607,elite-dangerous,Elite: Dangerous,2014,"OSX,PS4,PC,XOne","Simulation",,
11988,final-fantasy-vii,Final Fantasy VII,1997,"NS,PC,iOS,PS4,And,PS,XOne,PSN","Role-Playing",9.6,9.5
489776,fallout-4,Fallout 4,2015,"PS4,PC,XOne","Role-Playing",9,
33882,ftl-faster-than-light,FTL: Faster Than Light,2012,"Linux,PC,OSX","Misc",8.6,
503116,beat-saber,Beat Saber,2018,"PS4","Music",,
458353,darkest-dungeon,Darkest Dungeon,2016,"NS,PC,PS4,PSV,OSX,Linux,XOne","Role-Playing",,
13263,eve-online,EVE Online,2003,"PC","Role-Playing",,
20063,silkroad-online,Silkroad Online,2004,"PC","Role-Playing",,
461427,wwe-supercard,WWE SuperCard,2014,"And","Strategy",,
19030,bioshock-2,BioShock 2,2010,"PS3,PC,X360,OSX","Misc,Shooter",8.6,
18871,mario-kart-wii,Mario Kart Wii,2008,"Wii","Racing",8.2,9.1
23453,fallout-new-vegas,Fallout: New Vegas,2010,"PS3,PC,X360","Role-Playing",8.3,
490382,for-honor,For Honor,2017,"PS4,PC,XOne","Action",,
26175,planetside-2,PlanetSide 2,2012,"PS4,PC","Shooter",,
460951,geometry-dash,Geometry Dash,1997,"And,PC","Misc,Action",,
18846,garrys-mod,Garry's Mod,2004,"PC","Misc",,
504199,battlefield-v,Battlefield V,2018,"XOne,PS4,PC","Shooter",,
32345,borderlands-2,Borderlands 2,2012,"PSV,PS3,PC,X360","Shooter",,
21812,demons-souls,Demon's Souls,2009,"PS3","Role-Playing",9.1,9.5
488635,naruto-shippuden-ultimate-ninja-storm-4,Naruto Shippuden: Ultimate Ninja Storm 4,2016,"XOne,PS4,PC","Fighting",,
21934,star-wars-the-old-republic,Star Wars: The Old Republic,2011,"PC","Role-Playing",8.4,
6558,nfl-gameday,NFL GameDay,1996,"PS","Sports",,
14678,lineage-the-blood-pledge,Lineage: The Blood Pledge,2001,"PC","Role-Playing",,
5126,resident-evil-3-nemesis,Resident Evil 3: Nemesis,1999,"PS,GC,PC,PSN,DC","Action",9.4,
20357,uncharted-2-among-thieves,Uncharted 2: Among Thieves,2009,"PS3","Action",9.5,9.6
488820,stranded-deep,Stranded Deep,2009,"PC","Adventure",,
494131,little-nightmares,Little Nightmares,2017,"PS4,PC,NS,XOne","Platform",8.6,
493551,conan-exiles,Conan Exiles,2018,"XOne,PC,PS4","Action-Adventure",,
370472,wreckfest,Wreckfest,2018,"XOne,PC,PS4","Racing",,
313558,diablo-iii,Diablo III,2012,"PC","Role-Playing",9,
369380,dying-light,Dying Light,2015,"XOne,PC,PS4,PS3,X360","Action",,
27473,persona-5,Persona 5,2017,"PS4,PS3","Role-Playing",,
27103,sid-meiers-civilization-v,Sid Meier's Civilization V,2010,"PC","Strategy",8.9,
7595,super-metroid,Super Metroid,1994,"VC,SNES","Adventure",9,
1468,resident-evil-4,Resident Evil 4,2005,"S32X,X360,PC,PS4,PS2,PS3,Wii,GC,XOne,Mob","Action,Action-Adventure,Misc",9.6,9.3
506442,doom-eternal,DOOM Eternal,2019,"PS4,PC,NS,XOne","Shooter",,
10322,final-fantasy-x,Final Fantasy X,2001,"PS2","Role-Playing",9,10
492535,celeste,Celeste,2018,"NS,PC,PS4,XOne","Platform",9.3,
491318,borderlands-3,Borderlands 3,2019,"PC,PS4,XOne","Shooter",,
8224,trackmania,TrackMania,2004,"PC","Racing",7,
497388,a-way-out,A Way Out,2018,"PS4,PC,XOne","Action",8.1,
418016,the-long-dark,The Long Dark,2017,"PC,PS4,XOne,OSX,Linux","Simulation",,
497434,total-war-warhammer-ii,Total War: Warhammer II,2017,"PC","Strategy",,
488436,rivals-of-aether,Rivals of Aether,2016,"PC","Fighting",,
491381,golf-with-your-friends,Golf With Your Friends,2005,"PC","Sports",,
504735,shadow-of-the-tomb-raider,Shadow of the Tomb Raider,2018,"XOne,PS4,PC","Action-Adventure",,
493997,super-mario-odyssey,Super Mario Odyssey,2017,"NS","Platform",9.9,
3947,silent-hill,Silent Hill,1999,"PS,PSN","Adventure",8.9,
490359,final-fantasy-vii-remake,Final Fantasy VII Remake,2019,"PS4","Role-Playing",,
458650,gran-turismo-sport,Gran Turismo Sport,2017,"PS4","Racing",,
33180,the-last-of-us,The Last of Us,2013,"PS3","Action-Adventure",9.5,
497411,forza-motorsport-7,Forza Motorsport 7,2017,"PC,XOne","Racing",8.9,
490713,undertale,Undertale,2015,"PSV,PC,PS4,NS,OSX","Role-Playing,Misc",9,
18381,warcraft-ii-tides-of-darkness,Warcraft II: Tides of Darkness,1996,"MSD,PC,OSX","Strategy,Misc",9.3,
489201,titanfall-2,Titanfall 2,2016,"PS4,PC,XOne","Shooter",8.9,
479862517,dragon-quest-xi-echoes-of-an-elusive-age,Dragon Quest XI: Echoes of an Elusive Age,2018,"PS4","Role-Playing",10,
24664,heroes-of-newerth,Heroes of Newerth,2010,"PC","Strategy",,
1041,diablo-ii,Diablo II,2000,"PC","Role-Playing",8.8,
6369,god-of-war,God of War,2005,"PS2","Action",9.3,
4375,kingdom-hearts-ii,Kingdom Hearts II,2006,"PS2","Role-Playing",8.3,
8828,home-sweet-home,Home Sweet Home,2008,"PC,WW","Simulation",,
458781,no-mans-sky,No Man's Sky,2016,"PS4,PC,XOne","Action-Adventure",6.8,
493125,my-summer-car,My Summer Car,2006,"PC","Simulation",,
14766,super-mario-galaxy,Super Mario Galaxy,2007,"Wii","Platform",9.7,9.6
7184,barbie-horse-adventures-wild-horse-rescue,Barbie Horse Adventures: Wild Horse Rescue,2003,"PS2,XB","Sports",,
4449,the-lord-of-the-rings-the-battle-for-middle-earth-ii,The Lord of the Rings: The Battle for Middle-earth II,2006,"X360,PC","Strategy",8.2,
10710,counter-strike,Counter-Strike,2000,"OSX,XB,PC","Shooter,Misc",,
5975,shadow-of-the-colossus,Shadow of the Colossus,2005,"PS2,PS3,PS4","Action-Adventure,Adventure",9.3,9.4
207,yu-gi-oh-forbidden-memories,Yu-Gi-Oh! Forbidden Memories,2002,"PS","Role-Playing",7,
67637,until-dawn,Until Dawn,2014,"PS4,PS3","Adventure,Misc",,
29793,grid-2,Grid 2,2013,"PC,PS3,X360","Misc",,
498459,jurassic-world-evolution,Jurassic World Evolution,2018,"PC,PS4,XOne","Simulation",,
497471,a-plague-tale-innocence,A Plague Tale: Innocence,2019,"PS4,PC,XOne","Action-Adventure",,
66402,battlefield-4,Battlefield 4,2013,"XOne,PS4,PS3,X360,PC","Shooter",8.7,
130942,factorio,Factorio,2016,"PC,Linux,OSX","Strategy",,
29918,warface,Warface,2020,"PS3,PC,X360","Misc",,
9954,everquest,EverQuest,1999,"PC","Role-Playing",8,
6910,wwe-smackdown-shut-your-mouth,WWE SmackDown! Shut Your Mouth,2002,"PS2","Fighting,Sports",,
488910,american-truck-simulator,American Truck Simulator,2016,"PC","Simulation",,
20061,cabal-online,CABAL Online,1990,"PC","Role-Playing",,
488518,friday-the-13th-the-game,Friday the 13th: The Game,2011,"PC,PS4,XOne","Action",,
1868,maniac-mansion,Maniac Mansion,1987,"PC,NES","Adventure",,
505371,marvels-spider-man,Marvel's Spider-Man,2018,"PS4","Action-Adventure",9.1,
65663,company-of-heroes-2,Company of Heroes 2,2013,"PC","Misc",,
492850,monster-hunter-generations,Monster Hunter Generations,2016,"3DS","Action",8.8,
1736,tetris,Tetris,1989,"WS,NES,PSN,GB","Puzzle",7.5,
461449,cities-skylines,Cities: Skylines,2015,"Linux,OSX,PC,PS4,NS,XOne","Simulation",,
20454,hexen-beyond-heretic,Hexen: Beyond Heretic,1995,"PS,SAT,PC","Shooter",,
510044,trine-4-the-nightmare-prince,Trine 4: The Nightmare Prince,,"XOne,PC,PS4,NS","Action-Adventure",,
23894,call-of-duty-black-ops,Call of Duty: Black Ops,2010,"Wii,XBL,X360,PS3,PC,DS,PSN","Shooter",8.8,
506458,overcooked-2,Overcooked! 2,2018,"PS4,NS,XOne","Simulation",8.4,
19731,portal-2,Portal 2,2011,"PS3,PC,X360","Shooter",9.7,
506412,devil-may-cry-5,Devil May Cry 5,2019,"PS4,PC,XOne","Action",,
7830,age-of-empires-iii,Age of Empires III,2005,"PC","Strategy",8.3,
417749,tabletop-simulator,Tabletop Simulator,2015,"PC","Simulation",,
506462,control,Control,2019,"PS4,PC,XOne","Adventure",,
510825,atlas,Atlas,2018,"PC,XOne","MMO",,
11103,uno,Uno,1998,"PS2,XBL,WW,DSiW,PC,NS,GB,PS,PSN","Board Game,Misc",8,
494536,dauntless,Dauntless,2018,"PS4,PC,NS,XOne","Role-Playing",,
15483,donkey-kong-country-2-diddys-kong-quest,Donkey Kong Country 2: Diddy's Kong Quest,1995,"VC,SNES","Platform",9.3,
32541,yakuza-5,Yakuza 5,2015,"PS3,PS4","Action-Adventure,Adventure",,
489767,xcom-2,XCOM 2,2015,"XOne,Linux,OSX,PS4,PC","Strategy",,
490644,divinity-original-sin-ii,Divinity: Original Sin II,2018,"XOne,PS4","Role-Playing",,
19423,heavy-rain,Heavy Rain,,"PS3,PS4,PC","Adventure",8.8,8.6
506468,nioh-2,Nioh 2,2019,"PS4","Action",,
18767,legendary,Legendary,2008,"X360,PS3,PC","Shooter",4,
313197,assetto-corsa,Assetto Corsa,2014,"XOne,PC,PS4","Racing",6,
497412,ori-and-the-will-of-the-wisps,Ori and the Will of the Wisps,2019,"PC,XOne","Platform",,
418063,five-nights-at-freddys,Five Nights at Freddy's,,"And,PC","Simulation,Adventure",,
33331,xcom-enemy-unknown,XCOM: Enemy Unknown,2012,"X360,PC,PS3,OSX,Linux","Strategy,Sports",9.1,
6737,super-mario-rpg-legend-of-the-seven-stars,Super Mario RPG: Legend of the Seven Stars,1996,"VC,SNES","Role-Playing",9.5,
280721,destiny,Destiny,2014,"PS3,PS4,X360,XOne","Shooter,Misc",8.3,
16313,gran-turismo-4,Gran Turismo 4,2005,"PS2","Racing",8.7,
500633,world-war-z,World War Z,2019,"XOne,PS4,PC","Shooter",,
500626,soulcalibur-vi,SoulCalibur VI,2018,"XOne,PS4,PC","Fighting",,
3475,the-movies,The Movies,2005,"PC","Simulation",8.2,
488500,battlefield-1,Battlefield 1,2016,"PS4,PC,XOne","Shooter",,
67648,nfl-football,NFL Football,1980,"Lynx,Int,GB,SNES,NES","Sports",,
497581,dream-daddy-a-dad-dating-simulator,Dream Daddy: A Dad Dating Simulator,2009,"PC","Simulation",,
6086,super-mario-sunshine,Super Mario Sunshine,2002,"GC","Platform",9.2,
460619,ori-and-the-blind-forest,Ori and the Blind Forest,2015,"PC,XOne","Platform",,
24438,mu-online,MU Online,2003,"PC","Role-Playing",,
497118,the-crew-2,The Crew 2,2018,"XOne,PS4,PC","Racing",6.5,
34134,call-of-duty-black-ops-ii,Call of Duty: Black Ops II,2012,"PS3,PC,X360,WiiU","Shooter",8.6,
491925,wolcen-lords-of-mayhem,Wolcen: Lords of Mayhem,2010,"PC","Role-Playing",,
497078,far-cry-5,Far Cry 5,2018,"XOne,PS4,PC","Action",7.9,
459327,hearts-of-iron-iv,Hearts of Iron IV,2016,"OSX,PC,Linux","Strategy",,
539,harry-potter-and-the-sorcerers-stone,Harry Potter and the Sorcerer's Stone,2001,"PS2,XB,GC,GBA,PC,GB,PS","Action",8,
5815,final-fantasy-vi,Final Fantasy VI,1999,"PC,GBA,PS,PSN","Role-Playing,Misc",,
498350675,anstoss-3,Anstoss 3,2000,"PC","Simulation",,
1893867416,blackjack,Blackjack,1977,"2600,NES","Misc",,
494162,nier-automata,NieR: Automata,2017,"PS4,PC,XOne","Role-Playing",,
25141,napoleon-total-war,Napoleon: Total War,2010,"PC","Strategy",8.5,
499463,getting-over-it-with-bennett-foddy,Getting Over It with Bennett Foddy,2010,"PC","Action",,
2732,cold-war,Cold War,2005,"XB,PC","Shooter",,
391475,space-engineers,Space Engineers,2013,"PC,XOne","Simulation",,
10564,final-fantasy-xii,Final Fantasy XII,2006,"PS2","Role-Playing",9.4,9.5
461389,life-is-strange,Life is Strange,2015,"PS3,PS4,PC,X360,iOS,XOne","Adventure",,
491878,beamngdrive,BeamNG.drive,2000,"PC","Simulation",,
629490250,quiz-party,Quiz Party,2012,"Wii","Misc",,
29440,phantasy-star-online-2,Phantasy Star Online 2,2001,"PC,PSV","Misc,Role-Playing",,
317,tomb-raider-ii,Tomb Raider II,1997,"PC,PSN,PS","Action,Adventure",8.2,
5360,resident-evil,Resident Evil,1996,"NS,DS,PC,SAT,PS4,GC,PS,XOne","Action,Action-Adventure,Misc",8.9,
496503,naruto-to-boruto-shinobi-striker,Naruto to Boruto: Shinobi Striker,2018,"PS4,PC,XOne","Action",8.5,
