id,basename,name,year,platform,genres,critic_score,user_score
369588,mario-kart-8,Mario Kart 8,2014,"WiiU","Racing",8.8,
110758,the-legend-of-zelda-breath-of-the-wild,The Legend of Zelda: Breath of the Wild,2017,"NS,WiiU","Action-Adventure",9.9,10
490644,divinity-original-sin-ii,Divinity: Original Sin II,2018,"PS4,XOne","Role-Playing",,
7193,microsoft-flight-simulator,Microsoft Flight Simulator,1996,"PC","Simulation",7,
8224,trackmania,TrackMania,2004,"PC","Racing",7,
16282,super-smash-bros-melee,Super Smash Bros. Melee,2001,"GC","Fighting",9.2,
495064,splatoon-2,Splatoon 2,2017,"NS","Shooter",8.2,
1229,super-mario-world,Super Mario World,1991,"SNES,VC","Platform",8.5,
3475,the-movies,The Movies,2005,"PC","Simulation",8.2,
71375,star-citizen,Star Citizen,2015,"PC","Misc",,
67584,europa-universalis-iv,Europa Universalis IV,2013,"Linux,OSX,PC","Strategy,Misc",,
19357,guild-wars-2,Guild Wars 2,2012,"PC","Role-Playing",,
461067,tekken-7,Tekken 7,2015,"XOne,Arc,PS4,PC","Fighting",,
66170,warframe,Warframe,,"PS4,PC,NS,XOne","Misc,Action",,
497480,detroit-become-human,Detroit: Become Human,,"PS4,PC","Adventure",8,
11557,the-legend-of-zelda-ocarina-of-time,The Legend of Zelda: Ocarina of Time,1998,"iQue,N64,VC","Adventure",9.9,10
34025,kenshi,Kenshi,1988,"PC","Role-Playing",,
19976,maplestory,MapleStory,2005,"PC","Role-Playing",,
491381,golf-with-your-friends,Golf With Your Friends,2005,"PC","Sports",,
130942,factorio,Factorio,2016,"Linux,OSX,PC","Strategy",,
460636,bloodborne,Bloodborne,2015,"PS4","Role-Playing",8.2,
460316,brawlhalla,Brawlhalla,2018,"PC","Fighting",,
66366,war-thunder,War Thunder,2014,"OSX,PS4,PC","Action,Misc",,
490201,crossing-souls,Crossing Souls,2018,"PS4","Action-Adventure",,
31376,terraria,Terraria,2011,"WiiU,XOne,And,X360,PS3,PC,3DS,PSV,PS4","Action-Adventure,Platform,Action",8.8,
492553,sid-meiers-civilization-vi,Sid Meier's Civilization VI,2016,"NS,PC","Strategy",9.4,
9435,the-legend-of-zelda-a-link-to-the-past,The Legend of Zelda: A Link to the Past,1992,"SNES,GBA,VC","Adventure",9.6,
8645,resident-evil-2,Resident Evil 2,1998,"DC,PSN,PS,XOne,GC,N64,PC,PS4","Action-Adventure,Action",9.3,
459064,cuphead,Cuphead,2017,"XOne,NS,PC","Platform,Action",,
493217,gwent-the-witcher-card-game,Gwent: The Witcher Card Game,2018,"PS4,PC,XOne","Misc",,
503116,beat-saber,Beat Saber,2018,"PS4","Music",,
498638,anno-1800,Anno 1800,2019,"PC","Strategy",,
8149,stronghold-2,Stronghold 2,2005,"PC","Strategy",,
24324,the-legend-of-zelda-skyward-sword,The Legend of Zelda: Skyward Sword,2011,"Wii","Adventure",9.4,
459327,hearts-of-iron-iv,Hearts of Iron IV,2016,"OSX,Linux,PC","Strategy",,
23453,fallout-new-vegas,Fallout: New Vegas,2010,"PS3,X360,PC","Role-Playing",8.3,
488615,street-fighter-v,Street Fighter V,2016,"PS4,PC","Fighting",,
460951,geometry-dash,Geometry Dash,1997,"And,PC","Misc,Action",,
458443,alien-isolation,Alien: Isolation,2014,"XOne,X360,PS3,PS4,PC","Adventure",,
13263,eve-online,EVE Online,2003,"PC","Role-Playing",,
506413,forza-horizon-4,Forza Horizon 4,2018,"XOne,PC","Racing",9.2,
21812,demons-souls,Demon's Souls,2009,"PS3","Role-Playing",9.1,9.5
506246,fallout-76,Fallout 76,2018,"XOne,PS4,PC","Role-Playing",5.1,
29107,tropico-4,Tropico 4,2011,"X360,PC","Strategy",7.9,
80607,elite-dangerous,Elite: Dangerous,2014,"PC,XOne,OSX,PS4","Simulation",,
497358,car-mechanic-simulator-2018,Car Mechanic Simulator 2018,2015,"PC","Simulation",,
492504,human-fall-flat,Human: Fall Flat,2017,"NS","Platform",,
27473,persona-5,Persona 5,2017,"PS3,PS4","Role-Playing",,
